Date,Close/Last,Open,High,Low,RSI
2021-05-28,4204.11,4210.77,4218.36,4203.57,45.05610487723585
2021-06-01,4202.04,4216.52,4234.12,4197.59,57.02722984562609
2021-06-02,4208.12,4206.82,4217.37,4198.27,55.0314112631815
2021-06-03,4192.85,4191.43,4204.39,4167.93,66.50623644251606
2021-06-04,4229.89,4206.05,4233.45,4206.05,71.40385894876903
2021-06-07,4226.52,4229.34,4232.34,4215.66,79.01490530090753
2021-06-08,4227.26,4233.81,4236.74,4208.41,75.28339504414674
2021-06-09,4219.55,4232.99,4237.09,4218.74,71.01176723443109
2021-06-10,4239.18,4228.56,4249.74,4220.34,68.78254831616688
2021-06-11,4247.44,4242.9,4248.38,4232.25,63.39057167235499
2021-06-14,4255.15,4248.31,4255.59,4234.07,64.75340136054419
2021-06-15,4246.59,4255.28,4257.16,4238.35,67.59978504079332
2021-06-16,4223.7,4248.87,4251.89,4202.45,75.03798794865082
2021-06-17,4221.86,4220.37,4232.29,4196.05,62.809474952045306
2021-06-18,4166.45,4204.78,4204.78,4164.4,62.047616879865316
2021-06-21,4224.79,4173.4,4226.24,4173.4,51.071855736498264
2021-06-22,4246.44,4224.61,4255.84,4217.27,41.13129166264133
2021-06-23,4241.84,4249.27,4256.6,4241.43,41.906405830456514
2021-06-24,4266.49,4256.97,4271.28,4256.97,46.83633172444053
2021-06-25,4280.7,4274.45,4286.12,4271.16,43.8424101969872
2021-06-28,4290.61,4284.9,4292.14,4274.67,43.48965517241383
2021-06-29,4291.8,4293.21,4300.52,4287.04,52.86369623472776
